employee_id,current_role,target_role,years_experience,education_level,performance_rating,satisfaction_level,training_hours,certifications_count,last_promotion_years,projects_completed,department,target_role_success
35,Analyst,Business Analyst,10.15,Master,3.56,0.19,21,2,0,7,Sales,1
36,Consultant,Business Analyst,9.54,Bachelor,4.03,0.04,14,4,0,7,Finance,0
37,Engineer,Program Manager,2.4,Bachelor,2.55,0.08,22,4,4,16,Finance,0
38,Manager,Data Analyst,3.9,High School,4.55,0.3,19,2,6,8,HR,0
39,Engineer,Program Manager,3.36,Master,3.65,0.36,24,1,10,3,HR,1
40,Engineer,Business Analyst,4.31,High School,3.69,0.15,18,3,0,11,HR,0
41,Engineer,Business Analyst,8.85,Master,3.22,0.28,21,3,5,16,Operations,0
42,Consultant,Data Analyst,12.31,Bachelor,3.88,0.12,12,1,1,12,Operations,1
43,Analyst,Program Manager,6.54,Bachelor,3.53,0.26,18,1,0,10,Sales,0
44,Analyst,Business Analyst,2.89,Master,4.35,0.06,18,4,5,9,HR,1
45,Manager,Business Analyst,4.86,High School,2.49,0.33,13,1,2,8,Marketing,0
46,Engineer,Business Analyst,13.84,Bachelor,3.62,0.38,13,4,0,10,Finance,1
47,Analyst,Program Manager,5.34,Master,3.79,0.51,20,0,1,7,HR,0
48,Engineer,Program Manager,3.93,Master,3.37,0.36,25,3,0,12,Finance,0
49,Manager,Data Analyst,4.2,Bachelor,3.22,0.4,17,3,3,10,Engineering,1
50,Engineer,Business Analyst,6.51,Master,3.25,0.14,22,3,1,10,Engineering,0
51,Analyst,Business Analyst,2.48,Master,3.62,0.15,17,2,10,10,HR,0
52,Engineer,Data Analyst,3.3,Master,2.23,0.27,22,1,0,7,Finance,0
53,Analyst,Business Analyst,9.45,Bachelor,4.18,0.27,21,0,1,12,Engineering,0
54,Manager,Data Analyst,6.38,Bachelor,3.16,0.2,23,2,1,5,HR,1
55,Engineer,Data Analyst,5.39,Master,3.59,0.52,26,2,1,6,Finance,1
56,Analyst,Business Analyst,9.77,Master,3.76,0.01,23,2,1,10,HR,0
57,Manager,Program Manager,2.74,Bachelor,3.13,0.23,15,3,3,11,Operations,0
58,Engineer,Program Manager,3.84,Bachelor,3.41,0.09,17,3,5,9,Finance,0
59,Manager,Program Manager,6.24,Bachelor,2.08,0.54,22,1,7,12,Engineering,0
60,Analyst,Program Manager,6.08,Bachelor,4.01,0.34,15,2,4,8,HR,1
61,Engineer,Business Analyst,1.28,Bachelor,4.26,0.22,32,1,5,11,Engineering,1
62,Engineer,Data Analyst,3.54,Bachelor,2.31,0.12,20,2,2,13,HR,0
63,Engineer,Data Analyst,4.4,Master,3.22,0.33,20,0,4,8,Sales,1
64,Manager,Business Analyst,6.73,High School,2.64,0.1,11,1,1,12,Engineering,0
65,Manager,Program Manager,6.07,Master,3.38,0.34,21,1,1,11,Engineering,0
66,Analyst,Data Analyst,4.72,Bachelor,3.95,0.58,16,2,1,9,Marketing,0
67,Consultant,Business Analyst,0.64,Bachelor,4.19,0.55,25,1,1,6,Operations,0
68,Engineer,Business Analyst,4.9,High School,4.29,0.14,20,1,0,9,Engineering,0
69,Engineer,Program Manager,5.24,Bachelor,4.42,0.54,16,2,9,10,Finance,1
70,Analyst,Business Analyst,21.89,Master,3.34,0.05,21,4,1,8,HR,1
71,Engineer,Data Analyst,4.29,Master,2.7,0.23,25,0,0,5,Sales,0
72,Manager,Data Analyst,6.26,Bachelor,3.42,0.15,23,1,2,7,Finance,0
73,Manager,Business Analyst,10.86,Bachelor,3.94,0.04,22,4,0,9,Finance,1
74,Engineer,Data Analyst,8.51,Bachelor,2.64,0.42,15,2,0,10,Finance,1
75,Engineer,Business Analyst,12.64,Master,4.66,0.47,21,1,0,5,Finance,1
76,Manager,Data Analyst,1.3,Master,4.13,0.46,27,1,1,12,Sales,1
77,Engineer,Program Manager,2.06,Bachelor,3.36,0.29,17,3,1,8,Marketing,0
78,Manager,Data Analyst,3.11,Master,3.0,0.33,24,1,4,7,Operations,1
79,Consultant,Program Manager,1.08,Master,3.03,0.61,18,3,3,7,Engineering,1
80,Consultant,Program Manager,5.27,High School,3.55,0.23,19,3,1,8,Finance,0
81,Engineer,Business Analyst,2.22,Bachelor,3.34,0.33,19,2,1,11,Engineering,0
82,Engineer,Program Manager,13.73,Master,4.17,0.19,29,2,1,6,Engineering,0
83,Engineer,Data Analyst,2.54,Master,3.26,0.48,14,4,4,8,Finance,1
84,Manager,Data Analyst,3.85,Bachelor,3.85,0.46,33,1,0,10,Marketing,1
85,Consultant,Program Manager,8.86,Bachelor,3.48,0.34,11,1,0,11,Engineering,1
86,Consultant,Business Analyst,1.59,Bachelor,3.69,0.29,20,2,4,10,HR,1
87,Analyst,Program Manager,1.0,Bachelor,3.34,0.3,19,1,1,8,Engineering,0
88,Analyst,Data Analyst,5.75,Master,4.0,0.33,19,3,0,11,Operations,1
89,Engineer,Data Analyst,6.08,Bachelor,4.01,0.07,26,3,0,7,Finance,1
90,Manager,Program Manager,8.68,Master,3.82,0.33,18,4,7,10,Sales,1
91,Engineer,Program Manager,7.31,Master,3.93,0.57,19,1,5,15,Engineering,1
92,Consultant,Program Manager,6.24,Bachelor,2.84,0.17,29,1,3,9,Marketing,1
93,Engineer,Data Analyst,2.8,Bachelor,3.73,0.32,30,1,1,11,HR,1
94,Engineer,Data Analyst,5.95,Bachelor,4.37,0.26,20,1,2,13,HR,0
95,Consultant,Data Analyst,6.22,Master,3.84,0.21,21,2,10,14,Sales,1
96,Consultant,Business Analyst,2.71,Bachelor,2.78,0.45,18,0,9,9,Operations,1
97,Consultant,Data Analyst,16.27,Master,3.47,0.19,18,1,0,12,Sales,0
98,Consultant,Data Analyst,7.07,Master,3.76,0.42,23,2,4,14,Operations,1
99,Analyst,Business Analyst,2.1,Bachelor,2.97,0.31,11,4,0,8,Engineering,0
100,Manager,Business Analyst,8.71,Master,2.55,0.09,21,0,0,9,Finance,0
101,Manager,Business Analyst,9.74,Doctorate,3.28,0.18,21,0,3,9,Marketing,1
102,Consultant,Business Analyst,6.78,High School,2.98,0.29,24,1,1,11,HR,0
103,Manager,Business Analyst,4.11,Bachelor,3.49,0.19,12,1,7,5,Sales,1
104,Manager,Business Analyst,2.61,Doctorate,2.39,0.25,27,4,0,8,Marketing,0
105,Manager,Program Manager,4.71,Doctorate,3.9,0.26,17,2,2,14,Operations,1
106,Manager,Program Manager,6.44,High School,3.06,0.19,15,2,7,7,Finance,1
107,Consultant,Program Manager,5.05,High School,4.2,0.12,21,2,6,10,HR,0
108,Engineer,Program Manager,13.01,Bachelor,3.31,0.36,29,5,0,6,HR,1
109,Engineer,Data Analyst,7.84,Doctorate,3.48,0.01,21,3,1,9,Operations,0
110,Engineer,Business Analyst,2.36,Bachelor,3.38,0.23,12,4,2,11,Finance,0
111,Analyst,Data Analyst,1.89,Bachelor,3.02,0.37,22,3,0,8,HR,1
112,Manager,Business Analyst,7.11,Master,5.0,0.47,24,0,9,13,Finance,1
113,Consultant,Business Analyst,4.18,High School,3.15,0.23,29,3,6,9,HR,1
114,Consultant,Data Analyst,8.31,Master,4.22,0.6,15,2,0,11,Engineering,1
115,Analyst,Program Manager,7.07,Bachelor,2.73,0.11,20,3,0,9,Operations,0
116,Consultant,Data Analyst,4.72,Master,3.76,0.29,29,3,0,11,Finance,1
117,Engineer,Data Analyst,2.39,Bachelor,3.84,0.24,20,1,6,11,Marketing,0
118,Analyst,Business Analyst,1.13,Master,3.48,0.09,30,1,0,5,Engineering,1
119,Consultant,Business Analyst,5.88,Master,3.1,0.34,25,4,1,7,Marketing,0
120,Analyst,Business Analyst,1.56,Bachelor,3.32,0.26,14,0,1,13,Operations,1
121,Analyst,Program Manager,2.3,High School,3.22,0.11,22,2,2,9,HR,0
122,Consultant,Data Analyst,5.62,Bachelor,5.0,0.34,27,3,0,7,Marketing,0
123,Engineer,Data Analyst,5.23,Bachelor,3.48,0.07,16,1,0,6,Engineering,0
124,Consultant,Program Manager,1.75,Master,3.87,0.39,25,0,7,13,Finance,1
125,Manager,Data Analyst,10.48,Master,4.75,0.17,18,3,6,17,Sales,1
126,Manager,Data Analyst,10.29,Bachelor,2.89,0.69,21,2,4,12,Marketing,1
127,Consultant,Business Analyst,7.27,Master,3.53,0.17,22,1,0,11,Sales,1
128,Engineer,Program Manager,7.27,Master,3.31,0.26,21,2,1,7,Operations,1
129,Manager,Business Analyst,7.27,Master,3.44,0.34,31,1,2,10,Marketing,1
130,Manager,Program Manager,9.68,Bachelor,3.37,0.19,21,0,0,12,Marketing,0
131,Consultant,Business Analyst,7.97,Bachelor,2.99,0.44,22,2,6,10,Finance,1
132,Consultant,Data Analyst,2.56,Bachelor,3.64,0.29,15,0,2,15,HR,0
133,Consultant,Program Manager,4.14,Bachelor,2.76,0.04,21,3,0,13,Engineering,0
134,Analyst,Program Manager,20.39,Bachelor,4.19,0.09,20,2,6,9,Engineering,1
135,Analyst,Business Analyst,0.69,Bachelor,3.94,0.47,22,4,8,6,Engineering,1
136,Analyst,Program Manager,3.39,High School,3.15,0.27,19,1,0,11,Operations,1
137,Consultant,Data Analyst,10.51,Master,3.19,0.24,15,0,2,15,HR,1
138,Engineer,Data Analyst,2.71,Bachelor,3.69,0.27,18,0,1,12,Sales,0
139,Manager,Data Analyst,8.12,Bachelor,2.94,0.1,19,4,1,10,Engineering,1
140,Analyst,Business Analyst,5.18,Bachelor,4.77,0.23,20,0,0,9,Sales,0
141,Engineer,Program Manager,2.88,Bachelor,3.75,0.26,25,5,2,10,HR,0
142,Consultant,Business Analyst,0.54,Bachelor,3.78,0.69,20,0,8,7,Operations,1
143,Analyst,Data Analyst,5.76,Bachelor,3.98,0.25,12,3,1,7,HR,1
144,Consultant,Program Manager,2.52,Bachelor,3.09,0.24,21,2,0,12,Finance,1
145,Engineer,Data Analyst,4.57,Bachelor,4.26,0.28,10,1,2,8,Engineering,1
146,Analyst,Program Manager,7.22,Bachelor,3.58,0.27,9,1,1,7,Operations,0
147,Analyst,Program Manager,9.16,Bachelor,4.17,0.23,20,1,5,8,Finance,1
148,Analyst,Business Analyst,3.38,Master,3.36,0.43,25,2,1,8,Engineering,1
149,Analyst,Program Manager,2.87,Bachelor,4.42,0.22,12,3,0,15,HR,0
150,Engineer,Data Analyst,1.53,Bachelor,3.78,0.48,14,2,0,7,HR,1
151,Analyst,Program Manager,9.46,High School,5.0,0.23,20,3,4,8,Marketing,1
152,Manager,Data Analyst,18.55,Bachelor,3.24,0.43,14,3,0,19,Marketing,1
153,Manager,Business Analyst,10.16,Bachelor,3.64,0.39,21,1,4,14,HR,1
154,Consultant,Data Analyst,11.69,Bachelor,2.78,0.21,22,2,0,6,HR,1
155,Analyst,Program Manager,2.73,Master,3.13,0.09,20,2,1,10,Sales,0
156,Manager,Data Analyst,6.92,Bachelor,3.93,0.6,15,2,1,15,Sales,1
157,Manager,Data Analyst,8.64,Bachelor,4.29,0.23,31,4,8,10,Finance,1
158,Manager,Program Manager,1.99,Master,5.0,0.3,23,1,7,12,Marketing,0
159,Engineer,Data Analyst,14.36,Master,3.43,0.16,18,0,0,8,Marketing,0
160,Analyst,Program Manager,1.25,High School,2.85,0.18,13,1,1,3,HR,0
161,Engineer,Business Analyst,12.92,Bachelor,4.03,0.48,24,2,0,9,HR,1
162,Engineer,Data Analyst,1.25,Bachelor,2.71,0.53,21,0,1,9,Finance,1
163,Manager,Business Analyst,2.08,High School,3.89,0.36,28,1,1,6,Operations,0
164,Manager,Data Analyst,7.01,Bachelor,3.15,0.25,17,0,6,10,Operations,1
165,Consultant,Data Analyst,5.28,High School,3.65,0.38,25,2,7,8,Operations,1
166,Analyst,Business Analyst,3.65,Master,4.26,0.2,19,2,1,4,Marketing,0
167,Analyst,Data Analyst,14.0,Bachelor,3.42,0.3,24,3,1,12,Sales,1
168,Manager,Data Analyst,1.57,High School,4.15,0.13,23,0,6,10,Operations,0
169,Manager,Business Analyst,4.43,High School,4.11,0.13,21,5,4,13,Engineering,1
170,Analyst,Data Analyst,7.64,Master,2.19,0.35,14,5,0,9,Finance,0
171,Consultant,Program Manager,6.17,Bachelor,2.87,0.32,21,1,1,11,Operations,1
172,Manager,Data Analyst,2.96,Master,2.41,0.31,14,4,1,14,Engineering,1
173,Consultant,Data Analyst,3.05,Bachelor,4.9,0.23,19,2,0,13,Operations,1
174,Engineer,Data Analyst,9.07,Bachelor,3.43,0.31,18,3,0,14,Sales,1
175,Manager,Business Analyst,9.36,Bachelor,4.75,0.17,20,2,0,10,Sales,1
176,Engineer,Program Manager,6.29,High School,2.36,0.04,18,3,2,4,Operations,0
177,Manager,Program Manager,2.43,Bachelor,3.1,0.28,21,2,0,16,Engineering,0
178,Engineer,Data Analyst,3.13,Bachelor,4.06,0.09,20,2,0,11,Finance,0
179,Manager,Business Analyst,4.92,Bachelor,3.63,0.41,21,2,0,5,Engineering,1
180,Consultant,Business Analyst,5.47,Master,3.87,0.52,23,2,4,12,Finance,1
181,Consultant,Program Manager,7.43,Bachelor,2.62,0.63,18,0,5,8,Operations,1
182,Consultant,Business Analyst,4.26,High School,4.46,0.27,21,4,1,7,Finance,1
183,Engineer,Data Analyst,8.93,Bachelor,4.04,0.16,23,4,1,16,HR,1
184,Consultant,Data Analyst,8.86,Master,3.78,0.3,24,1,10,9,Marketing,1
185,Engineer,Business Analyst,11.95,Doctorate,3.02,0.25,21,3,0,8,Marketing,1
186,Manager,Data Analyst,5.08,Bachelor,3.73,0.28,14,0,0,11,Sales,0
187,Engineer,Program Manager,6.36,Bachelor,3.3,0.47,19,2,0,3,HR,1
188,Manager,Data Analyst,4.51,Bachelor,2.34,0.22,20,0,0,10,Marketing,0
189,Analyst,Business Analyst,2.45,Master,3.46,0.25,17,3,1,10,Operations,0
190,Analyst,Program Manager,18.27,Master,3.39,0.13,29,2,6,7,Finance,1
191,Analyst,Data Analyst,10.96,Bachelor,4.24,0.26,20,1,2,15,Finance,1
192,Engineer,Program Manager,8.74,Bachelor,1.94,0.58,22,0,1,5,Engineering,0
193,Analyst,Business Analyst,4.95,Bachelor,3.66,0.17,19,0,7,16,Engineering,1
194,Analyst,Data Analyst,2.27,Bachelor,2.69,0.44,27,4,0,10,Finance,1
195,Analyst,Data Analyst,9.81,Master,3.72,0.24,21,2,0,5,Operations,0
196,Manager,Program Manager,4.45,Bachelor,3.76,0.45,21,2,2,15,Finance,1
197,Consultant,Data Analyst,6.78,High School,3.44,0.42,19,3,2,12,Engineering,0
198,Engineer,Data Analyst,3.12,Master,4.07,0.12,27,5,0,11,Marketing,1
199,Analyst,Data Analyst,6.01,Master,2.63,0.41,15,3,1,12,Sales,0
200,Manager,Data Analyst,3.28,Bachelor,4.28,0.09,15,0,2,10,Engineering,1
201,Consultant,Business Analyst,3.39,Master,3.0,0.1,17,0,3,8,Operations,0
202,Consultant,Data Analyst,5.95,Bachelor,2.41,0.23,21,2,2,6,Marketing,1
203,Consultant,Program Manager,1.23,Master,3.31,0.55,21,2,1,6,Marketing,1
204,Manager,Business Analyst,1.29,Master,2.03,0.35,13,2,0,7,Marketing,0
205,Analyst,Program Manager,2.7,Bachelor,3.68,0.14,20,3,1,8,HR,0
206,Consultant,Program Manager,4.22,Master,3.32,0.05,17,0,0,15,HR,0
207,Manager,Program Manager,9.11,Master,4.36,0.38,25,0,8,11,Marketing,1
208,Manager,Business Analyst,4.41,Bachelor,3.95,0.28,22,3,1,9,Operations,1
209,Engineer,Business Analyst,4.93,Bachelor,2.53,0.31,26,2,1,12,Finance,0
210,Manager,Business Analyst,3.96,Master,2.91,0.34,21,3,4,8,Operations,1
211,Consultant,Data Analyst,6.36,Bachelor,3.86,0.48,17,1,1,10,HR,1
212,Consultant,Program Manager,2.43,Bachelor,4.09,0.26,10,3,1,7,Engineering,0
213,Manager,Business Analyst,4.59,Master,4.36,0.5,27,3,4,8,HR,1
214,Consultant,Program Manager,6.72,Master,4.35,0.15,16,1,5,8,Finance,1
215,Manager,Business Analyst,5.92,Bachelor,3.44,0.06,26,3,3,15,Sales,1
216,Consultant,Business Analyst,5.05,Bachelor,3.75,0.45,22,4,0,10,HR,1
217,Engineer,Business Analyst,5.1,Bachelor,4.41,0.11,17,2,2,14,Operations,0
218,Analyst,Program Manager,7.19,Bachelor,3.29,0.3,17,1,4,17,Operations,0
219,Engineer,Data Analyst,18.83,Bachelor,3.77,0.54,24,4,0,10,Marketing,1
220,Engineer,Business Analyst,2.58,Master,3.27,0.07,32,1,0,9,Marketing,1
221,Analyst,Business Analyst,19.18,Bachelor,3.11,0.34,14,1,6,12,Marketing,1
222,Consultant,Business Analyst,2.48,Bachelor,3.53,0.06,23,3,0,16,Sales,0
223,Analyst,Data Analyst,0.46,Bachelor,3.02,0.27,16,1,3,7,Finance,0
224,Manager,Program Manager,3.23,Doctorate,3.41,0.01,17,4,1,2,Engineering,1
225,Analyst,Program Manager,6.44,Bachelor,2.78,0.09,22,3,1,5,Operations,0
226,Engineer,Program Manager,16.35,High School,3.37,0.16,16,0,0,7,Operations,0
227,Analyst,Program Manager,2.27,High School,3.81,0.06,17,2,4,7,Finance,0
228,Consultant,Business Analyst,7.16,Bachelor,3.09,0.36,18,3,1,5,Sales,0
229,Engineer,Data Analyst,1.43,Bachelor,3.51,0.33,18,2,2,7,Marketing,0
230,Manager,Business Analyst,15.98,Bachelor,3.6,0.55,11,1,3,15,Finance,1
231,Consultant,Data Analyst,11.1,Bachelor,3.82,0.11,13,4,3,8,Engineering,0
232,Engineer,Program Manager,3.39,High School,3.41,0.22,17,1,8,9,Marketing,0
233,Manager,Data Analyst,12.29,Bachelor,4.26,0.08,26,1,2,9,Engineering,1
234,Consultant,Business Analyst,4.57,Bachelor,2.03,0.18,24,0,1,16,HR,1
235,Manager,Business Analyst,11.49,High School,5.0,0.6,22,3,8,11,Engineering,1
236,Analyst,Program Manager,5.02,High School,2.89,0.4,20,0,2,7,Marketing,0
237,Analyst,Business Analyst,5.18,High School,3.78,0.11,20,2,0,6,HR,0
238,Manager,Business Analyst,3.45,High School,2.84,0.03,17,1,0,11,Marketing,0
239,Analyst,Data Analyst,7.82,Master,3.95,0.03,26,1,5,9,Operations,0
240,Manager,Business Analyst,5.48,Bachelor,3.69,0.37,30,2,1,11,Marketing,1
241,Consultant,Program Manager,7.27,Bachelor,3.04,0.16,22,4,3,4,HR,1
242,Engineer,Program Manager,1.1,Bachelor,4.25,0.74,17,4,1,13,Engineering,1
243,Manager,Business Analyst,11.76,Doctorate,3.39,0.24,14,3,0,14,Operations,1
244,Engineer,Program Manager,13.73,Master,3.88,0.17,23,4,2,5,Sales,1
245,Engineer,Data Analyst,5.46,Bachelor,2.86,0.08,15,1,0,8,Sales,0
246,Manager,Data Analyst,17.98,Bachelor,3.48,0.45,23,2,1,13,Sales,1
247,Analyst,Business Analyst,15.35,Bachelor,4.9,0.2,25,1,2,10,Sales,1
248,Consultant,Business Analyst,7.94,Bachelor,4.17,0.26,15,1,1,9,Finance,0
249,Engineer,Data Analyst,12.39,High School,3.72,0.28,21,4,3,6,Sales,1
250,Consultant,Program Manager,10.32,Master,3.19,0.25,23,2,4,3,HR,0
251,Engineer,Business Analyst,0.81,Bachelor,3.55,0.39,21,0,4,7,Sales,0
252,Manager,Business Analyst,4.03,Master,3.64,0.09,23,3,0,9,Marketing,0
253,Analyst,Program Manager,8.33,Bachelor,3.81,0.24,25,1,0,14,Sales,1
254,Consultant,Business Analyst,14.33,Master,2.75,0.2,23,2,2,10,Engineering,0
255,Engineer,Program Manager,1.33,Master,3.97,0.4,26,2,7,11,HR,1
256,Manager,Program Manager,0.88,High School,2.74,0.47,13,0,5,11,HR,1
257,Manager,Program Manager,4.79,Bachelor,4.64,0.13,26,2,5,10,Operations,0
258,Engineer,Program Manager,0.51,Bachelor,2.96,0.4,31,5,1,7,Finance,1
259,Engineer,Program Manager,4.66,Bachelor,3.71,0.09,22,2,1,8,Marketing,0
260,Engineer,Data Analyst,6.56,Bachelor,4.2,0.25,17,3,1,6,HR,1
261,Analyst,Program Manager,2.17,Bachelor,3.32,0.26,18,0,0,13,Engineering,0
262,Engineer,Data Analyst,4.76,Bachelor,3.74,0.45,18,2,0,10,Sales,1
263,Engineer,Program Manager,9.69,Master,4.5,0.39,20,1,8,12,HR,0
264,Analyst,Business Analyst,3.21,High School,3.9,0.1,26,3,0,11,Engineering,1
265,Manager,Data Analyst,2.51,Doctorate,3.75,0.38,20,2,0,8,Sales,0
266,Engineer,Business Analyst,4.6,Bachelor,2.32,0.3,12,1,0,6,Finance,0
267,Consultant,Program Manager,1.97,Master,2.85,0.59,21,2,7,9,HR,1
268,Manager,Program Manager,17.12,Bachelor,4.23,0.18,19,1,2,14,HR,1
269,Consultant,Business Analyst,5.14,High School,3.9,0.21,22,2,3,10,Engineering,1
270,Engineer,Program Manager,2.75,Master,4.01,0.62,19,5,6,12,Operations,1
271,Analyst,Business Analyst,5.88,Bachelor,3.94,0.49,24,3,1,5,Marketing,1
272,Analyst,Program Manager,4.58,Master,4.4,0.1,17,4,2,11,Finance,1
273,Analyst,Program Manager,4.19,Bachelor,3.32,0.25,28,2,0,6,Marketing,1
274,Engineer,Data Analyst,3.21,Bachelor,3.58,0.34,10,2,0,16,HR,1
275,Engineer,Business Analyst,3.09,Bachelor,2.78,0.4,19,0,4,13,Marketing,0
276,Consultant,Program Manager,1.13,Master,2.61,0.12,25,2,4,13,Sales,1
277,Analyst,Business Analyst,12.38,High School,2.35,0.56,15,1,1,11,Finance,1
278,Engineer,Data Analyst,7.58,Master,2.88,0.06,12,1,1,8,Marketing,0
279,Manager,Business Analyst,6.3,Master,4.59,0.12,28,2,2,10,Sales,1
280,Engineer,Data Analyst,4.52,High School,2.41,0.53,14,3,0,9,Engineering,0
281,Engineer,Business Analyst,2.14,High School,3.29,0.27,18,1,0,9,Marketing,0
282,Manager,Business Analyst,2.61,Master,2.59,0.28,22,2,0,15,Finance,0
283,Analyst,Data Analyst,1.27,Bachelor,3.08,0.3,13,1,0,9,Sales,0
284,Manager,Program Manager,2.89,Bachelor,3.62,0.14,10,2,4,11,Marketing,1
285,Analyst,Program Manager,1.87,High School,3.01,0.07,24,1,0,16,Engineering,0
286,Manager,Program Manager,14.79,Bachelor,4.26,0.33,19,1,0,17,Marketing,1
287,Consultant,Business Analyst,9.25,High School,4.57,0.36,20,3,1,11,Sales,1
288,Analyst,Business Analyst,5.31,Bachelor,1.93,0.31,26,3,5,15,Marketing,0
289,Engineer,Program Manager,2.35,Master,3.02,0.18,24,1,0,6,Finance,0
290,Consultant,Business Analyst,1.96,Bachelor,3.54,0.11,16,0,0,14,HR,0
291,Analyst,Business Analyst,4.3,Bachelor,4.29,0.23,13,3,1,6,Sales,0
292,Analyst,Program Manager,9.51,Doctorate,3.18,0.64,18,3,3,11,Sales,0
293,Analyst,Data Analyst,1.3,Master,3.49,0.24,19,3,2,8,Sales,1
294,Manager,Business Analyst,7.51,Master,2.69,0.22,25,0,4,9,Sales,0
295,Analyst,Business Analyst,2.88,Bachelor,2.43,0.25,25,0,8,10,Marketing,0
296,Engineer,Business Analyst,3.34,Master,4.51,0.24,17,0,4,15,Finance,1
297,Analyst,Business Analyst,5.19,High School,2.22,0.53,16,4,2,12,Engineering,0
298,Engineer,Data Analyst,2.42,High School,5.0,0.39,15,1,1,7,Finance,1
299,Engineer,Program Manager,4.13,Bachelor,4.01,0.17,17,3,0,12,Sales,1
300,Engineer,Business Analyst,2.24,Bachelor,3.98,0.2,18,0,10,9,Operations,0
301,Consultant,Program Manager,3.08,Master,3.9,0.25,27,0,1,13,Marketing,0
302,Engineer,Business Analyst,8.53,Bachelor,3.32,0.29,18,4,0,11,Operations,0
303,Manager,Data Analyst,5.39,Master,3.77,0.14,30,1,3,8,Marketing,0
304,Analyst,Program Manager,8.51,Master,3.37,0.19,17,2,0,5,Sales,1
305,Manager,Data Analyst,2.85,Bachelor,3.89,0.57,17,4,2,7,Marketing,1
306,Consultant,Business Analyst,7.55,Bachelor,3.48,0.54,24,1,2,15,Sales,1
307,Analyst,Data Analyst,0.97,Bachelor,2.83,0.21,22,0,1,12,Finance,0
308,Engineer,Data Analyst,5.19,Bachelor,2.89,0.19,21,1,5,11,HR,1
309,Analyst,Business Analyst,7.9,High School,2.81,0.39,31,2,0,13,Marketing,1
310,Consultant,Business Analyst,0.93,Doctorate,4.18,0.05,26,1,1,12,Sales,0
311,Consultant,Program Manager,2.88,High School,3.07,0.51,25,1,2,14,Operations,1
312,Manager,Business Analyst,5.19,High School,2.16,0.17,20,1,3,11,Sales,0
313,Analyst,Program Manager,10.0,Master,3.78,0.35,16,3,4,10,Operations,1
